라인업,라인업_대표문구,기능1_명,기능1_설명,기능2_명,기능2_설명,기능3_명,기능3_설명,기능4_명,기능4_설명,대표모델명,대표모델_제품명,제품_URL,제품유형,냉방면적_㎡,에너지등급,정상가_원,회원할인가_원,쿠폰할인가_원,최대혜택가_원,구독_월_원,냉방능력_정격_W,냉방능력_최소_W,냉방소비전력_정격_W,냉방소비전력_최소_W,라인업_출처,가격_출처,스펙_출처,비고,수집일
타워I,"온도를 넘어 습도까지, 마침내 완벽한 바람",AI콜드프리,맞춤 온도와 습도로 오래 켜 놔도 춥지 않고 보송한 바람,AI바람,"레이더센서로 공간 감지, 사용패턴 기반 온도와 기류 제어",AI수면,"편안한 수면 환경 유지하는 맞춤형 온도, 습도, 기류제어",휘센 청정관리,바람이 지나는 길을 꼼꼼하고 깨끗하게 관리,FQ25GN9BE2,LG 휘센 AI 오브제컬렉션 타워I 에어컨 2in1 (9시리즈) 81.8㎡ 1등급,https://www.lge.co.kr/air-conditioners/fq25gn9be2,2in1 / 일반배관,81.8,1,7570000,6820000,6640000,6075200,140500,9000,2850,2500,290,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fq25gn9be2,https://www.lge.co.kr/business/air-conditioners/fq25gn9be2,대표 모델은 2026년형 2in1 9시리즈로 선정,2026-06-15
뷰I 프로,"온도를 넘어 습도까지, 마침내 완벽한 바람",AI콜드프리,맞춤 온도와 습도로 오래 켜 놔도 춥지 않고 보송한 바람,AI바람,"레이더센서로 공간 감지, 사용패턴 기반 온도와 기류 제어",클린뷰,심플한 오픈 구조로 편리하게 내부 청정 상태 확인 가능,뷰케이스,라이프스타일과 취향에 맞게 꾸미는 나만의 쇼룸,FQ18GV6EE2,LG 휘센 AI 오브제컬렉션 뷰I 프로 에어컨 2in1 (6시리즈) 58.5㎡ 1등급,https://www.lge.co.kr/air-conditioners/fq18gv6ee2,2in1 / 일반배관,58.5,1,5350000,4820000,4640000,4215200,103500,7200,2800,2050,320,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fq18gv6ee2,https://www.lge.co.kr/business/air-conditioners/fq18gv6ee2,대표 모델은 뷰I 프로 2in1 6시리즈로 선정,2026-06-15
뷰I,맞춤형 냉방으로 쉽고 에너지 사용 부담은 적게,AI바람,실내 환경을 감지하고 사용 패턴에 맞춘 냉방,쾌적제습,에너지 사용 걱정 덜어주는 가벼운 제습,클린뷰,심플한 오픈 구조로 편리하게 청정 상태 확인 가능,뷰케이스,라이프스타일과 취향에 맞게 꾸미는 나만의 쇼룸,FQ18GV3EE2,LG 휘센 AI 오브제컬렉션 뷰I 에어컨 2in1 (3시리즈) 58.5㎡ 1등급,https://www.lge.co.kr/air-conditioners/fq18gv3ee2,2in1 / 일반배관,58.5,1,4407000,3970000,3790000,3524700,79900,7200,1700,1810,280,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fq18gv3ee2,https://www.lge.co.kr/business/air-conditioners/fq18gv3ee2,대표 모델은 뷰I 2in1 3시리즈로 선정,2026-06-15
뷰II,에너지 사용 부담은 적게 관리는 편리하게,AI바람,실내 환경을 감지하고 사용 패턴에 맞춘 냉방,쾌적제습,에너지 사용 걱정 덜어주는 가벼운 제습,클린뷰,심플한 오픈 구조로 편리하게 내부 청정 상태 확인 가능,뷰케이스,라이프스타일과 취향에 맞게 꾸미는 나만의 쇼룸,FQ17GU1ED2,LG 휘센 AI 오브제컬렉션 뷰II 에어컨 2in1 (1시리즈) 56.9㎡ 3등급,https://www.lge.co.kr/air-conditioners/fq17gu1ed2,2in1 / 일반배관,56.9,3,3108000,2300000,2180000,2027400,56900,7000,1600,2080,320,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fq17gu1ed2,https://www.lge.co.kr/business/air-conditioners/fq17gu1ed2,대표 모델은 뷰II 2in1 1시리즈로 선정,2026-06-15
쿨 프로,6가지 휘센 바람과 간편한 관리로 실내를 쾌적하게,에어커버,바람을 넓게 분산하고 먼지와 오염으로부터 보호,6가지 휘센 바람,다양한 바람으로 상황에 맞게 냉방,쾌적제습,에너지 사용 부담 덜어주는 제습,쿨오픈,간편한 에어컨 내부 팬 셀프 청소,FQ17GC4ED2,LG 휘센 AI 오브제컬렉션 쿨 프로 에어컨 2in1 (4시리즈) 56.9㎡ 3등급,https://www.lge.co.kr/air-conditioners/fq17gc4ed2,2in1 / 일반배관,56.9,3,2997000,2550000,2430000,2259900,68900,7000,1600,2350,320,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fq17gc4ed2,https://www.lge.co.kr/business/air-conditioners/fq17gc4ed2,대표 모델은 쿨 프로 2in1 4시리즈로 선정,2026-06-15
쿨,간단하게 열고 냉방은 확실하게,AI바람,사용자 선호 온도와 패턴을 학습하여 사용할수록 똑똑해지는 바람,아이스쿨파워,무더운 여름 최대 4℃ 낮은 빠르고 강력한 냉방,절전,절전 효율을 높일 수 있는 2단계 절전모드와 절전플래너,쿨오픈,심플한 오픈 구조로 편리하게 내부 청정 상태 확인 가능,FQ17GC1ED2,LG 휘센 AI 오브제컬렉션 쿨 에어컨 2in1 (1시리즈) 56.9㎡ 3등급,https://www.lge.co.kr/air-conditioners/fq17gc1ed2,2in1 / 일반배관,56.9,3,2720000,2080000,1960000,1822800,54900,7000,1600,2350,320,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fq17gc1ed2,https://www.lge.co.kr/business/air-conditioners/fq17gc1ed2,대표 모델은 쿨 2in1 1시리즈로 선정,2026-06-15
위너 / 칸,맞춤형 냉방으로 공간을 더욱 쾌적하게,AI바람,사용 패턴을 학습한 맞춤 냉방,아이스쿨파워,무더운 실내를 식혀줄 냉방,절전,에너지 절약을 도와주는 절전모드,휘센 청정관리,"열교환기 세척, AI건조로 바람이 지나는 길을 관리",FQ20VDWHM2,LG 휘센 오브제컬렉션 위너 2in1 65.9㎡ 3등급,https://www.lge.co.kr/air-conditioners/fq20vdwhm2,2in1 / 일반배관,65.9,3,2997000,2090000,1970000,1832100,,8100,1600,2530,320,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fq20vdwhm2,https://www.lge.co.kr/business/air-conditioners/fq20vdwhm2,공식 제품 페이지에서 구독 월 가격 미노출. 대표 모델은 위너 2in1로 선정,2026-06-15
사계절,냉방은 기본 온풍도 확실하게,온풍,영하 10도까지 내려가는 겨울에도 따뜻한 파워온풍,한쪽바람,"왼쪽, 오른쪽 원하는 방향으로 보내는 간접바람 (모델별 상이)",공기청정,"추울 때는 따뜻한 공기청정, 더울 때는 시원한 공기청정",제습,장마철에도 꿉꿉하지 않은 대용량 제습,FW20HDNBM2,LG 휘센 오브제컬렉션 사계절에어컨 2in1 (타워 히트) 65.9㎡,https://www.lge.co.kr/air-conditioners/fw20hdnbm2,2in1 / 타워 히트,65.9,,4440000,4000000,3820000,3552600,81900,8100,1900,2390,360,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/fw20hdnbm2,https://www.lge.co.kr/business/air-conditioners/fw20hdnbm2,사용자가 예시로 제시한 사계절 모델 사용. 공식 제품명에 에너지등급 미표기,2026-06-15
벽걸이,춥지 않은 쾌적한 바람,AI콜드프리,맞춤 온도와 습도로 오래 켜 놔도 춥지 않고 보송한 바람,AI바람,"레이더센서로 공간 감지, 사용패턴 기반 온도와 기류 제어",휘센 청정관리,"AI열교환기 세척, AI건조, UV-LED로 일상 속 관리",소프트바람,미세하고 고르게 퍼지는 조용한 냉방,SQ07GS9EES,LG 휘센 AI 오브제컬렉션 듀얼쿨 벽걸이에어컨 22.8㎡ 1등급,https://www.lge.co.kr/air-conditioners/sq07gs9ees-akor,벽걸이,22.8,1,1716000,1460000,1390000,1292700,34900,2800,965,690,135,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/sq07gs9ees-akor,https://www.lge.co.kr/business/air-conditioners/sq07gs9ees-akor,대표 모델은 2026년형 듀얼쿨 벽걸이 1등급 모델로 선정,2026-06-15
엣지(창호형에어컨),내가 찾던 인테리어 창호형 에어컨,스마트케어,사용 패턴에 맞춰 쾌적한 온도 유지,강력제습,장마철이나 습도 높은 환경에도 쾌적한 공간 유지,간편한 설치,복잡한 시공 없이 창문에 설치,절전,에너지 절약을 도와주는 절전모드,WQ06FCWUS1,LG 휘센 오브제컬렉션 엣지 창호형 에어컨,https://www.lge.co.kr/air-conditioners/wq06fcwus1,창호형 / 창문형,19.4,1,1554000,1400000,1330000,1236900,,2360,970,990,180,https://www.lge.co.kr/category/air-conditioners?lineupId=CD00000042 | https://www.lge.co.kr/business/air-conditioners?subCateId=CT50114000,https://www.lge.co.kr/air-conditioners/wq06fcwus1,https://www.lge.co.kr/business/air-conditioners/wq06fcwus1,공식 제품 페이지에서 구독 월 가격 미노출. 대표 모델은 엣지 창호형 모델로 선정,2026-06-15
